r_from,r_to,n_pairs,dM,dD,dIDO1,dTDO2
CC1(C)CCC(C(O)*)C1,OC(C1CCCC1)*,2,0.08,0.17,0.16,-0.01
CC1(C)CCC(C(O)*)C1,OC(CC1CCCCC1)*,2,-0.25,0.34,-0.08,-0.42
CC1(C)CCC(C(O)*)C1,OC(CC1CCCC1)*,2,-0.24,0.09,-0.19,-0.28
CC1(C)CCC(C(O)*)C1,CC1CCCCC1CC(O)*,2,-0.37,-0.11,-0.42,-0.31
CC1(C)CCC(C(O)*)C1,CC1CCCC1C(O)*,2,0.28,-0.74,-0.09,0.65
Cc1ccccc1*,FC(F)(F)C1CCC(*)CC1,2,0.66,0.77,1.05,0.28
CC1CCCC(*)C1,CC1(*)CCCCC1,2,0.22,-0.52,-0.03,0.48
Cc1ccccc1*,Cc1ccc(*)cc1,2,0.25,0.54,0.52,-0.02
CCN(CC)C(=O)*,CC(=O)N1CCN(C(=O)*)CC1,2,0.16,0.13,0.23,0.1
C*,CC(=O)N1CCN(C(=O)*)CC1,2,0.84,-0.59,0.55,1.13
CN1CCN(C(=O)*)CC1,O=C(N1CCOCC1)*,2,-0.09,0.34,0.08,-0.26
CN1CCN(C(=O)*)CC1,O=C(O)*,2,-0.45,0.58,-0.17,-0.74
CN1CCN(C(=O)*)CC1,C*,2,-0.96,1.13,-0.39,-1.52
CN1CCN(C(=O)*)CC1,CCN(CC)C(=O)*,2,-0.28,0.42,-0.07,-0.49
CN1CCN(C(=O)*)CC1,CC(=O)N1CCN(C(=O)*)CC1,2,-0.12,0.55,0.15,-0.39
CCN(CC)C(=O)*,O=C(N1CCOCC1)*,2,0.19,-0.08,0.16,0.23
CCN(CC)C(=O)*,O=C(O)*,2,-0.17,0.16,-0.09,-0.25
CCN(CC)C(=O)*,CN1CCN(C(=O)*)CC1,2,0.28,-0.42,0.07,0.49
CC(=O)N1CCN(C(=O)*)CC1,O=C(N1CCOCC1)*,2,0.03,-0.21,-0.07,0.14
C*,O=C(N1CCOCC1)*,2,0.87,-0.79,0.47,1.27
CC(=O)N1CCN(C(=O)*)CC1,O=C(O)*,2,-0.34,0.03,-0.32,-0.35
CC(=O)N1CCN(C(=O)*)CC1,C*,2,-0.84,0.59,-0.55,-1.13
CC(=O)N1CCN(C(=O)*)CC1,CN1CCN(C(=O)*)CC1,2,0.12,-0.55,-0.15,0.39
CC(=O)N1CCN(C(=O)*)CC1,CCN(CC)C(=O)*,2,-0.16,-0.13,-0.23,-0.1
C1CC1*,CC(C)*,2,-0.31,0.25,-0.19,-0.44
CC(C)*,C1CC1*,2,0.31,-0.25,0.19,0.44
Cl*,C1CC(*)C1,2,0.05,-0.34,-0.12,0.22
Cl*,FC1(F)CC(*)C1,2,-0.67,-0.13,-0.74,-0.61
Cl*,CCC*,2,0.34,0.31,0.49,0.18
C*,CN1CCN(C(=O)*)CC1,2,0.96,-1.13,0.39,1.52
O=C(O)*,CC(=O)N1CCN(C(=O)*)CC1,2,0.34,-0.03,0.32,0.35
Fc1ccc(N*)cc1Cl,Fc1ccc(N*)cc1OC(F)(F)F,2,0.58,0.02,0.59,0.57
Br*,O=C(O)*,2,-0.86,0.45,-0.63,-1.08
N#Cc1ccc(*)cc1,Clc1ccc(*)nc1,2,0.26,0.24,0.38,0.14
N#Cc1ccc(*)cc1,Fc1cccc(*)c1,2,-0.1,-0.05,-0.12,-0.08
c1ccc(*)cc1,N#Cc1ccc(*)cc1,2,0.14,0.33,0.31,-0.02
Clc1ccc(*)nc1,N#Cc1ccc(*)cc1,2,-0.26,-0.24,-0.38,-0.14
Fc1cccc(*)c1,N#Cc1ccc(*)cc1,2,0.1,0.05,0.12,0.08
N#C*,Cn1cc(*)cn1,2,0.39,-0.25,0.27,0.52
Cn1cc(*)cn1,N#C*,2,-0.39,0.25,-0.27,-0.52
CO*,CC(=O)N*,2,0.0,-0.05,-0.02,0.03
CC(=O)N*,CO*,2,-0.0,0.05,0.02,-0.03
O=C(O)*,Br*,2,0.86,-0.45,0.63,1.08
O=C(O)*,CCN(CC)C(=O)*,2,0.17,-0.16,0.09,0.25
F*,O=C(O)*,2,0.31,-0.91,-0.15,0.76
O=C(N1CCOCC1)*,O=C(O)*,2,-0.37,0.24,-0.25,-0.49
O=C(N1CCOCC1)*,C*,2,-0.87,0.79,-0.47,-1.27
O=C(N1CCOCC1)*,CN1CCN(C(=O)*)CC1,2,0.09,-0.34,-0.08,0.26
O=C(N1CCOCC1)*,CCN(CC)C(=O)*,2,-0.19,0.08,-0.16,-0.23
O=C(N1CCOCC1)*,CC(=O)N1CCN(C(=O)*)CC1,2,-0.03,0.21,0.07,-0.14
O=C(O)*,F*,2,-0.31,0.91,0.15,-0.76
O=C(O)*,O=C(N1CCOCC1)*,2,0.37,-0.24,0.25,0.49
O=C(O)*,CN1CCN(C(=O)*)CC1,2,0.45,-0.58,0.17,0.74
Cl*,CC(C)C*,2,-0.45,-0.42,-0.66,-0.24
Cl*,CC(C)(C)*,2,-0.75,-0.17,-0.83,-0.66
c1ccc(C*)cc1,C1CC(*)C1,2,1.0,0.88,1.44,0.55
FC1(F)CC(*)C1,FC(F)(F)*,2,0.68,1.08,1.22,0.14
C1CC(*)C1,CCC*,2,0.17,0.02,0.18,0.15
C1CC1*,C1CC(*)C1,2,-0.47,-0.92,-0.93,-0.02
C1CC1*,FC1(F)CC(*)C1,2,-1.12,-0.94,-1.59,-0.65
C1CC1*,CCC*,2,-0.12,-0.5,-0.37,0.13
C1CC1*,CC(C)C*,2,-0.9,-1.23,-1.52,-0.28
C1CC1*,CC(C)(C)*,2,-1.2,-0.98,-1.69,-0.71
FC1(F)CC(*)C1,Cl*,2,0.67,0.13,0.74,0.61
FC1(F)CC(*)C1,C1CC(*)C1,2,0.51,0.44,0.73,0.28
FC1(F)CC(*)C1,C1CC1*,2,1.12,0.94,1.59,0.65
FC1(F)CC(*)C1,Br*,2,0.89,0.74,1.26,0.52
c1ccc(C*)cc1,FC(F)(F)*,2,1.08,1.12,1.64,0.52
FC1(F)CC(*)C1,c1cc(*)cs1,2,0.69,-0.31,0.53,0.84
FC1(F)CC(*)C1,CC*,2,1.66,0.71,2.01,1.3
FC1(F)CC(*)C1,CCC*,2,1.01,0.44,1.23,0.79
FC1(F)CC(*)C1,CC(C)C*,2,0.22,-0.29,0.08,0.37
FC1(F)CC(*)C1,CC(C)(C)*,2,-0.07,-0.04,-0.09,-0.05
FC1(F)CC(*)C1,C=C*,2,1.7,0.13,1.77,1.63
FC(F)(F)*,c1ccc(C*)cc1,2,-1.08,-1.12,-1.64,-0.52
FC(F)(F)*,FC1(F)CC(*)C1,2,-0.68,-1.08,-1.22,-0.14
FC(F)(F)*,c1cc(*)cs1,2,0.01,-1.4,-0.69,0.7
C1CC(*)C1,COc1ccc(*)cc1,2,-0.81,-0.43,-1.03,-0.59
C1CC(*)C1,Cc1ccc(*)cc1,2,-0.63,-0.55,-0.9,-0.35
C1CC(*)C1,Fc1cccc(*)c1,2,-0.32,-0.5,-0.57,-0.07
C1CC(*)C1,Fc1ccccc1*,2,-0.26,-0.5,-0.51,-0.01
c1ccc(C*)cc1,c1cc(*)cs1,2,0.82,0.57,1.1,0.53
c1ccc(C*)cc1,c1cncc(*)c1,2,1.3,0.3,1.45,1.15
c1ccc(C*)cc1,Fc1ccccc1*,2,0.73,0.38,0.93,0.54
c1ccc(C*)cc1,Cc1ccc(*)cc1,2,0.37,0.33,0.54,0.2
c1ccc(C*)cc1,COc1ccc(*)cc1,2,0.18,0.45,0.41,-0.04
c1ccc(C*)cc1,CCC*,2,1.13,0.74,1.49,0.76
c1ccc(C*)cc1,CC(C)C*,2,0.62,0.08,0.66,0.58
C1CCC(*)C1,Br*,2,0.25,1.26,0.88,-0.38
C1CCC(*)C1,Fc1ccccc1*,2,-0.37,-0.22,-0.48,-0.26
C1CCC(*)C1,Fc1cccc(*)c1,2,-0.43,-0.22,-0.54,-0.32
C1CCC(*)C1,Cc1ccc(*)cc1,2,-0.74,-0.27,-0.87,-0.6
C1CCC(*)C1,COc1ccc(*)cc1,2,-0.92,-0.15,-1.0,-0.85
C1CCC(*)C1,CC(C)C*,2,-0.42,0.23,-0.3,-0.53
C1CCC(*)C1,C=C*,2,1.06,0.66,1.39,0.73
C1CC(*)C1,Cl*,2,-0.05,0.34,0.12,-0.22
C1CC(*)C1,c1ccc(C*)cc1,2,-1.0,-0.88,-1.44,-0.55
C1CC(*)C1,C1CC1*,2,0.47,0.92,0.93,0.02
C1CC(*)C1,FC1(F)CC(*)C1,2,-0.51,-0.44,-0.73,-0.28
C1CC(*)C1,c1cc(*)cs1,2,-0.18,-0.32,-0.34,-0.02
N#Cc1ccc(*)cc1,c1ccc(*)cc1,2,-0.14,-0.33,-0.31,0.02
Fc1ccc(N*)cc1Cl,COc1cc(N*)cc(OC)c1OC,2,0.35,-0.01,0.34,0.35
Br*,C1CCC(*)C1,2,-0.25,-1.26,-0.88,0.38
O=C(O)c1cccc(*)c1,c1ccc(*)cc1,2,-0.12,0.45,0.1,-0.35
Fc1ccc(*)cc1,O=C(O)c1cccc(*)c1,2,0.38,-0.73,0.01,0.74
Fc1ccc(*)cc1,Cc1ccccc1C*,2,-0.85,-0.56,-1.13,-0.57
Clc1ccc(*)cc1,c1ccc(C*)cc1,2,-0.96,-0.25,-1.09,-0.83
Clc1ccc(*)cc1,Fc1ccc(C*)cc1,2,-1.22,0.46,-0.99,-1.45
Clc1ccc(*)cc1,Clc1ccc(*)cc1Cl,2,0.11,0.1,0.16,0.06
Clc1ccc(*)cc1,N#Cc1ccc(*)cc1,2,0.01,0.56,0.29,-0.27
Clc1ccc(*)cc1,Cc1ccccc1C*,2,-0.92,-0.54,-1.19,-0.65
Clc1ccc(*)cc1,Cc1cccc(*)c1,2,0.08,-0.89,-0.37,0.53
Clc1ccc(*)cc1Cl,Clc1ccc(*)cc1,2,-0.11,-0.1,-0.16,-0.06
O=C(O)c1cccc(*)c1,Clc1cccc(*)c1,2,0.08,0.5,0.33,-0.17
Fc1ccc(*)cc1,c1ccc(C*)cc1,2,-0.89,-0.28,-1.03,-0.76
O=C(O)c1cccc(*)c1,Fc1ccc(*)cc1,2,-0.38,0.73,-0.01,-0.74
O=C(O)c1cccc(*)c1,Cc1cccc(*)c1,2,-0.39,0.19,-0.3,-0.49
N#Cc1ccc(*)cc1,Clc1ccc(*)cc1,2,-0.01,-0.56,-0.29,0.27
Cc1ccccc1C*,c1ccc(C*)cc1,2,-0.04,0.28,0.1,-0.18
Cc1ccccc1C*,c1ccc(*)cc1,2,0.63,0.58,0.92,0.34
Cc1ccccc1C*,Fc1cccc(*)c1,2,0.79,0.73,1.15,0.43
Cc1ccccc1C*,Clc1cccc(*)c1,2,0.71,0.72,1.06,0.35
Cc1ccccc1C*,Fc1ccc(*)cc1,2,0.85,0.56,1.13,0.57
Cc1ccccc1C*,Clc1ccc(*)cc1,2,0.92,0.54,1.19,0.65
Fc1ccc(*)cc1,Fc1ccc(C*)cc1,2,-1.08,0.51,-0.82,-1.33
Clc1cccc(*)c1,Cc1ccccc1C*,2,-0.71,-0.72,-1.06,-0.35
Fc1ccc(N*)cc1Cl,COc1cc(N*)ccc1F,2,0.44,-0.16,0.35,0.52
c1ccc(C*)cc1,Cc1ccccc1C*,2,0.04,-0.28,-0.1,0.18
O=C(C*)Nc1ccc(Cl)cc1,CC(C(=O)Nc1ccc(Cl)cc1)*,2,0.33,0.76,0.71,-0.05
CC(C(=O)Nc1ccc(Cl)cc1)*,O=C(C*)Nc1ccc(Cl)cc1,2,-0.33,-0.76,-0.71,0.05
OCC*,C*,2,-0.32,-0.12,-0.38,-0.26
C*,OCC*,2,0.32,0.12,0.38,0.26
O*,Cl*,2,0.31,-0.44,0.09,0.53
Cl*,O*,2,-0.31,0.44,-0.09,-0.53
c1ccc(C*)cc1,Clc1cccc(*)c1,2,0.75,0.43,0.96,0.53
c1ccc(C*)cc1,Fc1ccc(*)cc1,2,0.89,0.28,1.03,0.76
c1ccc(C*)cc1,Clc1ccc(*)cc1,2,0.96,0.25,1.09,0.83
c1ccc(C*)cc1,Cc1cccc(*)c1,2,1.04,-0.64,0.72,1.36
Clc1cccc(*)c1,O=C(O)c1cccc(*)c1,2,-0.08,-0.5,-0.33,0.17
Fc1ccc(C*)cc1,Fc1cccc(*)c1,2,0.95,-0.13,0.88,1.01
Fc1ccc(C*)cc1,Fc1ccc(*)cc1,2,1.08,-0.51,0.82,1.33
Fc1ccc(C*)cc1,Clc1ccc(*)cc1,2,1.22,-0.46,0.99,1.45
c1ccc(*)cc1,O=C(O)c1cccc(*)c1,2,0.12,-0.45,-0.1,0.35
c1ccc(*)cc1,Cc1ccccc1C*,2,-0.63,-0.58,-0.92,-0.34
Fc1cccc(*)c1,Fc1ccc(C*)cc1,2,-0.95,0.13,-0.88,-1.01
Fc1cccc(*)c1,Cc1ccccc1C*,2,-0.79,-0.73,-1.15,-0.43
Fc1cccc(*)c1,Cc1cccc(*)c1,2,0.21,-1.08,-0.33,0.75
Clc1cccc(*)c1,c1ccc(C*)cc1,2,-0.75,-0.43,-0.96,-0.53
Cc1ccccc1C*,Cc1cccc(*)c1,2,1.0,-0.36,0.82,1.18
Cc1cccc(*)c1,c1ccc(C*)cc1,2,-1.04,0.64,-0.72,-1.36
Cc1cccc(*)c1,Fc1cccc(*)c1,2,-0.21,1.08,0.33,-0.75
COc1cc(N*)ccc1F,COc1cc(N*)cc(OC)c1OC,2,-0.09,0.15,-0.01,-0.16
COc1cc(*)cc(OC)c1OC,Fc1ccc(*)cc1Cl,2,-0.35,0.01,-0.34,-0.35
Fc1ccc(*)cc1,FC(F)(F)c1ccc(*)cc1,2,-0.81,-0.38,-1.0,-0.62
Fc1ccc(*)cc1OC(F)(F)F,COc1cc(*)ccc1F,2,-0.15,-0.18,-0.24,-0.06
Fc1ccc(*)cc1OC(F)(F)F,COc1cc(*)cc(OC)c1OC,2,-0.24,-0.03,-0.25,-0.22
Fc1ccc(*)cc1OC(F)(F)F,Fc1ccc(*)cc1Cl,2,-0.58,-0.02,-0.59,-0.57
Fc1ccc(*)cc1Cl,COc1cc(*)ccc1F,2,0.44,-0.16,0.35,0.52
Fc1ccc(*)cc1Cl,COc1cc(*)cc(OC)c1OC,2,0.35,-0.01,0.34,0.35
Fc1ccc(*)cc1Cl,Fc1ccc(*)cc1OC(F)(F)F,2,0.58,0.02,0.59,0.57
FC(F)(F)c1ccc(*)cc1,Fc1ccc(*)cc1,2,0.81,0.38,1.0,0.62
COc1cc(N*)ccc1F,Fc1ccc(N*)cc1OC(F)(F)F,2,0.15,0.18,0.24,0.06
Cc1cccc(*)c1,Clc1ccc(*)cc1,2,-0.08,0.89,0.37,-0.53
COc1cc(N*)ccc1F,Fc1ccc(N*)cc1Cl,2,-0.44,0.16,-0.35,-0.52
COc1cc(N*)cc(OC)c1OC,COc1cc(N*)ccc1F,2,0.09,-0.15,0.01,0.16
COc1cc(N*)cc(OC)c1OC,Fc1ccc(N*)cc1OC(F)(F)F,2,0.24,0.03,0.25,0.22
COc1cc(N*)cc(OC)c1OC,Fc1ccc(N*)cc1Cl,2,-0.35,0.01,-0.34,-0.35
Fc1ccc(N*)cc1,Fc1ccc(N*)cc1F,2,0.34,-0.02,0.33,0.35
Fc1ccc(N*)cc1OC(F)(F)F,COc1cc(N*)ccc1F,2,-0.15,-0.18,-0.24,-0.06
Fc1ccc(N*)cc1OC(F)(F)F,COc1cc(N*)cc(OC)c1OC,2,-0.24,-0.03,-0.25,-0.22
Fc1ccc(N*)cc1OC(F)(F)F,Fc1ccc(N*)cc1Cl,2,-0.58,-0.02,-0.59,-0.57
Fc1ccc(N*)cc1F,Fc1ccc(N*)cc1,2,-0.34,0.02,-0.33,-0.35
COc1cc(*)cc(OC)c1OC,Fc1ccc(*)cc1OC(F)(F)F,2,0.24,0.03,0.25,0.22
COc1cc(*)cc(OC)c1OC,COc1cc(*)ccc1F,2,0.09,-0.15,0.01,0.16
COc1cc(*)ccc1F,Fc1ccc(*)cc1Cl,2,-0.44,0.16,-0.35,-0.52
COc1cc(*)ccc1F,Fc1ccc(*)cc1OC(F)(F)F,2,0.15,0.18,0.24,0.06
Cc1cccc(*)c1,O=C(O)c1cccc(*)c1,2,0.39,-0.19,0.3,0.49
Cc1cccc(*)c1,Cc1ccccc1C*,2,-1.0,0.36,-0.82,-1.18
C*,FC(F)*,2,-0.02,0.09,0.02,-0.06
FC(F)*,C*,2,0.02,-0.09,-0.02,0.06
C*,CCC*,2,-0.54,-0.13,-0.61,-0.48
C*,C1CC1C*,2,0.1,0.07,0.13,0.07
CCC*,C*,2,0.54,0.13,0.61,0.48
CCC*,CC(C)*,2,-0.07,-0.04,-0.1,-0.05
C1CC1C*,C*,2,-0.1,-0.07,-0.13,-0.07
CC(C)*,CCC*,2,0.07,0.04,0.1,0.05
C*,CC(=O)N*,2,0.23,0.35,0.4,0.05
CC(=O)N*,C*,2,-0.23,-0.35,-0.4,-0.05
CO*,CC(C)O*,2,-0.06,0.01,-0.06,-0.07
FC(F)(F)O*,Cl*,2,-0.58,-0.02,-0.59,-0.57
CC(C)O*,CO*,2,0.06,-0.01,0.06,0.07
Cl*,FC(F)(F)O*,2,0.58,0.02,0.59,0.57
FC(F)(F)O*,F*,2,0.24,0.24,0.36,0.12
F*,FC(F)(F)O*,2,-0.24,-0.24,-0.36,-0.12
COc1cc(*)ccc1F,COc1cc(*)cc(OC)c1OC,2,-0.09,0.15,-0.01,-0.16
FC(F)(F)*,CC(C)C*,2,-0.46,-1.37,-1.15,0.23
Br*,FC1(F)CC(*)C1,2,-0.89,-0.74,-1.26,-0.52
Cc1ccccc1*,COC1CCCC(*)C1,2,0.42,1.21,1.03,-0.18
C1CC[C@H](*)NC1,Oc1ccc(*)cc1,2,-0.11,0.54,0.16,-0.38
O=[N+]([O-])c1ccccc1*,C1CC[C@H](*)NC1,2,0.38,-1.32,-0.29,1.04
O=[N+]([O-])c1ccccc1*,C1CC[C@@H](*)NC1,2,-0.01,-0.33,-0.18,0.15
O=[N+]([O-])c1cccc(*)c1,O=[N+]([O-])c1ccc(*)cc1,2,-0.09,0.19,0.0,-0.19
O=[N+]([O-])c1ccc(*)cc1,O=[N+]([O-])c1cccc(*)c1,2,0.09,-0.19,-0.0,0.19
C1CN[C@@H](*)C1,Oc1ccc(*)cc1,2,0.35,-0.28,0.22,0.49
C1CN[C@@H](*)C1,O[C@@H]1CCCC[C@@H]1*,2,1.45,-0.54,1.18,1.73
C1CN[C@@H](*)C1,O=[N+]([O-])c1ccccc1*,2,0.09,0.51,0.34,-0.17
C1CN[C@@H](*)C1,C1CC[C@H](*)NC1,2,0.46,-0.81,0.06,0.87
C1CN[C@@H](*)C1,C1CC[C@@H](*)NC1,2,0.07,0.18,0.16,-0.02
C1CC[C@H](*)NC1,O[C@@H]1CCCC[C@@H]1*,2,0.99,0.27,1.13,0.86
O=[N+]([O-])c1ccccc1*,O[C@@H]1CCCC[C@@H]1*,2,1.37,-1.06,0.84,1.9
C1CC[C@H](*)NC1,O=[N+]([O-])c1ccccc1*,2,-0.38,1.32,0.29,-1.04
C1CC[C@H](*)NC1,C1CN[C@@H](*)C1,2,-0.46,0.81,-0.06,-0.87
C1CC[C@H](*)NC1,C1CC[C@@H](*)NC1,2,-0.39,0.99,0.1,-0.89
C1CC[C@@H](*)NC1,Oc1ccc(*)cc1,2,0.28,-0.45,0.05,0.51
C1CC[C@@H](*)NC1,O[C@@H]1CCCC[C@@H]1*,2,1.38,-0.72,1.02,1.74
C1CC[C@@H](*)NC1,O=[N+]([O-])c1ccccc1*,2,0.01,0.33,0.18,-0.15
C1CC[C@@H](*)NC1,C1CN[C@@H](*)C1,2,-0.07,-0.18,-0.16,0.02
C1CC[C@@H](*)NC1,C1CC[C@H](*)NC1,2,0.39,-0.99,-0.1,0.89
Oc1ccc(C*)cc1,O[C@@H]1CCCC[C@H]1C*,2,1.1,-0.27,0.97,1.23
O=[N+]([O-])c1ccccc1*,C1CN[C@@H](*)C1,2,-0.09,-0.51,-0.34,0.17
O=[N+]([O-])c1ccccc1*,Oc1ccc(*)cc1,2,0.27,-0.79,-0.13,0.66
Fc1cccc(*)c1,Clc1ccc(*)cc1Cl,2,0.34,-0.08,0.3,0.37
Brc1ccc(*)cc1,Fc1ccc(*)cc1F,2,-0.06,0.23,0.06,-0.17
Clc1cccc(*)c1,Clc1ccc(*)cc1Cl,2,0.19,0.09,0.24,0.15
Fc1ccc(*)cc1F,Fc1cccc(*)c1,2,-0.44,-0.15,-0.52,-0.37
Fc1ccc(*)cc1F,Clc1ccc(*)cc1Cl,2,0.17,-0.13,0.11,0.23
Fc1ccc(*)cc1F,Brc1ccc(*)cc1,2,0.06,-0.23,-0.06,0.17
Clc1ccc(*)cc1Cl,Fc1cccc(*)c1,2,-0.34,0.08,-0.3,-0.37
Clc1ccc(*)cc1Cl,Clc1cccc(*)c1,2,-0.19,-0.09,-0.24,-0.15
Clc1ccc(*)cc1Cl,Fc1ccc(*)cc1F,2,-0.17,0.13,-0.11,-0.23
Clc1ccc(*)cc1Cl,Brc1ccc(*)cc1,2,-0.11,-0.1,-0.16,-0.06
Brc1ccc(*)cc1,Fc1cccc(*)c1,2,-0.01,-0.07,-0.05,0.02
Brc1ccc(*)cc1,Clc1ccc(*)cc1Cl,2,0.11,0.1,0.16,0.06
O[C@@H]1CCCC[C@@H]1*,C1CC[C@@H](*)NC1,2,-1.38,0.72,-1.02,-1.74
Oc1ccc(*)cc1,O[C@@H]1CCCC[C@@H]1*,2,1.1,-0.27,0.97,1.23
Oc1ccc(*)cc1,O=[N+]([O-])c1ccccc1*,2,-0.27,0.79,0.13,-0.66
Oc1ccc(*)cc1,C1CN[C@@H](*)C1,2,-0.35,0.28,-0.22,-0.49
Oc1ccc(*)cc1,C1CC[C@H](*)NC1,2,0.11,-0.54,-0.16,0.38
Oc1ccc(*)cc1,C1CC[C@@H](*)NC1,2,-0.28,0.45,-0.05,-0.51
O[C@@H]1CCCC[C@@H]1*,Oc1ccc(*)cc1,2,-1.1,0.27,-0.97,-1.23
O[C@@H]1CCCC[C@@H]1*,O=[N+]([O-])c1ccccc1*,2,-1.37,1.06,-0.84,-1.9
O[C@@H]1CCCC[C@@H]1*,C1CN[C@@H](*)C1,2,-1.45,0.54,-1.18,-1.73
O[C@@H]1CCCC[C@@H]1*,C1CC[C@H](*)NC1,2,-0.99,-0.27,-1.13,-0.86
Oc1ccc(C*)cc1,O=[N+]([O-])c1ccccc1C*,2,-0.27,0.79,0.13,-0.66
Oc1ccc(C*)cc1,C1CN[C@@H](C*)C1,2,-0.35,0.28,-0.22,-0.49
Oc1ccc(C*)cc1,C1CC[C@H](C*)NC1,2,0.11,-0.54,-0.16,0.38
O[C@@H]1CCCC[C@H]1CN*,C1CC[C@@H](CN*)NC1,2,-1.38,0.72,-1.02,-1.74
C1CC[C@@H](C*)NC1,C1CN[C@@H](C*)C1,2,-0.07,-0.18,-0.16,0.02
C1CC[C@@H](C*)NC1,C1CC[C@H](C*)NC1,2,0.39,-0.99,-0.1,0.89
Oc1ccc(CN*)cc1,O[C@@H]1CCCC[C@H]1CN*,2,1.1,-0.27,0.97,1.23
Oc1ccc(CN*)cc1,C1CN[C@@H](CN*)C1,2,-0.35,0.28,-0.22,-0.49
Oc1ccc(CN*)cc1,C1CC[C@H](CN*)NC1,2,0.11,-0.54,-0.16,0.38
Oc1ccc(CN*)cc1,C1CC[C@@H](CN*)NC1,2,-0.28,0.45,-0.05,-0.51
O[C@@H]1CCCC[C@H]1CN*,Oc1ccc(CN*)cc1,2,-1.1,0.27,-0.97,-1.23
O[C@@H]1CCCC[C@H]1CN*,C1CN[C@@H](CN*)C1,2,-1.45,0.54,-1.18,-1.73
