r_from,r_to,n_pairs,dM,dD,dIDO1,dTDO2
O[C@@H]1CCCC[C@H]1CN*,C1CC[C@H](CN*)NC1,2,-0.99,-0.27,-1.13,-0.86
C1CN[C@@H](CN*)C1,Oc1ccc(CN*)cc1,2,0.35,-0.28,0.22,0.49
Oc1ccc(C*)cc1,C1CC[C@@H](C*)NC1,2,-0.28,0.45,-0.05,-0.51
C1CN[C@@H](CN*)C1,O[C@@H]1CCCC[C@H]1CN*,2,1.45,-0.54,1.18,1.73
C1CN[C@@H](CN*)C1,C1CC[C@H](CN*)NC1,2,0.46,-0.81,0.06,0.87
C1CN[C@@H](CN*)C1,C1CC[C@@H](CN*)NC1,2,0.07,0.18,0.16,-0.02
C1CC[C@H](CN*)NC1,Oc1ccc(CN*)cc1,2,-0.11,0.54,0.16,-0.38
C1CC[C@H](CN*)NC1,O[C@@H]1CCCC[C@H]1CN*,2,0.99,0.27,1.13,0.86
C1CC[C@H](CN*)NC1,C1CN[C@@H](CN*)C1,2,-0.46,0.81,-0.06,-0.87
C1CC[C@H](CN*)NC1,C1CC[C@@H](CN*)NC1,2,-0.39,0.99,0.1,-0.89
C1CC[C@@H](CN*)NC1,Oc1ccc(CN*)cc1,2,0.28,-0.45,0.05,0.51
C1CC[C@@H](CN*)NC1,O[C@@H]1CCCC[C@H]1CN*,2,1.38,-0.72,1.02,1.74
C1CC[C@@H](C*)NC1,O=[N+]([O-])c1ccccc1C*,2,0.01,0.33,0.18,-0.15
C1CC[C@@H](C*)NC1,O[C@@H]1CCCC[C@H]1C*,2,1.38,-0.72,1.02,1.74
C1CC[C@@H](C*)NC1,Oc1ccc(C*)cc1,2,0.28,-0.45,0.05,0.51
C1CC[C@H](C*)NC1,C1CC[C@@H](C*)NC1,2,-0.39,0.99,0.1,-0.89
O[C@@H]1CCCC[C@H]1C*,Oc1ccc(C*)cc1,2,-1.1,0.27,-0.97,-1.23
O[C@@H]1CCCC[C@H]1C*,O=[N+]([O-])c1ccccc1C*,2,-1.37,1.06,-0.84,-1.9
O[C@@H]1CCCC[C@H]1C*,C1CN[C@@H](C*)C1,2,-1.45,0.54,-1.18,-1.73
O[C@@H]1CCCC[C@H]1C*,C1CC[C@H](C*)NC1,2,-0.99,-0.27,-1.13,-0.86
O[C@@H]1CCCC[C@H]1C*,C1CC[C@@H](C*)NC1,2,-1.38,0.72,-1.02,-1.74
O=[N+]([O-])c1ccccc1C*,Oc1ccc(C*)cc1,2,0.27,-0.79,-0.13,0.66
O=[N+]([O-])c1ccccc1C*,O[C@@H]1CCCC[C@H]1C*,2,1.37,-1.06,0.84,1.9
O=[N+]([O-])c1ccccc1C*,C1CN[C@@H](C*)C1,2,-0.09,-0.51,-0.34,0.17
O=[N+]([O-])c1ccccc1C*,C1CC[C@H](C*)NC1,2,0.38,-1.32,-0.29,1.04
O=[N+]([O-])c1ccccc1C*,C1CC[C@@H](C*)NC1,2,-0.01,-0.33,-0.18,0.15
C1CN[C@@H](C*)C1,Oc1ccc(C*)cc1,2,0.35,-0.28,0.22,0.49
C1CN[C@@H](C*)C1,O[C@@H]1CCCC[C@H]1C*,2,1.45,-0.54,1.18,1.73
C1CN[C@@H](C*)C1,O=[N+]([O-])c1ccccc1C*,2,0.09,0.51,0.34,-0.17
C1CN[C@@H](C*)C1,C1CC[C@H](C*)NC1,2,0.46,-0.81,0.06,0.87
C1CN[C@@H](C*)C1,C1CC[C@@H](C*)NC1,2,0.07,0.18,0.16,-0.02
C1CC[C@H](C*)NC1,Oc1ccc(C*)cc1,2,-0.11,0.54,0.16,-0.38
C1CC[C@H](C*)NC1,O[C@@H]1CCCC[C@H]1C*,2,0.99,0.27,1.13,0.86
C1CC[C@H](C*)NC1,O=[N+]([O-])c1ccccc1C*,2,-0.38,1.32,0.29,-1.04
C1CC[C@H](C*)NC1,C1CN[C@@H](C*)C1,2,-0.46,0.81,-0.06,-0.87
Fc1cccc(*)c1,Brc1ccc(*)cc1,2,0.01,0.07,0.05,-0.02
Fc1cccc(*)c1,Fc1ccc(*)cc1F,2,0.44,0.15,0.52,0.37
Br*,c1cc(*)cs1,2,-0.2,-1.05,-0.73,0.32
Fc1cccc(*)c1,c1cncc(*)c1,2,0.37,0.06,0.4,0.34
Fc1ccccc1*,c1ccc(*)cc1,2,0.05,0.0,0.06,0.05
Fc1ccccc1*,Cc1ccc(*)cc1,2,-0.36,-0.05,-0.39,-0.34
Fc1ccccc1*,COc1ccc(*)cc1,2,-0.55,0.07,-0.52,-0.58
c1ccc(*)cc1,Br*,2,0.36,1.13,0.93,-0.2
c1ccc(*)cc1,c1cncc(*)c1,2,0.16,0.36,0.34,-0.02
c1ccc(*)cc1,Fc1ccccc1*,2,-0.05,-0.0,-0.06,-0.05
c1ccc(*)cc1,CC(C)C*,2,-0.3,0.1,-0.25,-0.35
Fc1cccc(*)c1,C1CCC(*)C1,2,0.43,0.22,0.54,0.32
Fc1cccc(*)c1,C1CC(*)C1,2,0.32,0.5,0.57,0.07
Fc1cccc(*)c1,Cc1ccc(*)cc1,2,-0.31,-0.05,-0.34,-0.28
Fc1ccccc1*,C1CCC(*)C1,2,0.37,0.22,0.48,0.26
Fc1cccc(*)c1,COc1ccc(*)cc1,2,-0.5,0.07,-0.46,-0.53
Cc1ccc(*)cc1,c1ccc(C*)cc1,2,-0.37,-0.33,-0.54,-0.2
Cc1ccc(*)cc1,C1CCC(*)C1,2,0.74,0.27,0.87,0.6
Cc1ccc(*)cc1,C1CC(*)C1,2,0.63,0.55,0.9,0.35
Cc1ccc(*)cc1,c1cc(*)cs1,2,0.45,0.23,0.56,0.33
Cc1ccc(*)cc1,Fc1ccccc1*,2,0.36,0.05,0.39,0.34
Cc1ccc(*)cc1,Fc1cccc(*)c1,2,0.31,0.05,0.34,0.28
Cc1ccc(*)cc1,COc1ccc(*)cc1,2,-0.18,0.12,-0.13,-0.24
COc1ccc(*)cc1,c1ccc(C*)cc1,2,-0.18,-0.45,-0.41,0.04
Fc1ccccc1*,C1CC(*)C1,2,0.26,0.5,0.51,0.01
Fc1ccccc1*,c1ccc(C*)cc1,2,-0.73,-0.38,-0.93,-0.54
C=C*,CC(C)(C)*,2,-1.78,-0.17,-1.86,-1.69
c1cc(*)cs1,FC(F)(F)*,2,-0.01,1.4,0.69,-0.7
Br*,c1ccc(*)cc1,2,-0.36,-1.13,-0.93,0.2
Br*,CC*,2,0.76,-0.03,0.75,0.78
Br*,CCC*,2,0.12,-0.3,-0.03,0.26
Br*,CC(C)C*,2,-0.67,-1.03,-1.18,-0.15
Br*,CC(C)(C)*,2,-0.97,-0.78,-1.36,-0.58
Br*,C=C*,2,0.81,-0.61,0.51,1.11
c1cc(*)cs1,c1ccc(C*)cc1,2,-0.82,-0.57,-1.1,-0.53
c1cc(*)cs1,C1CC(*)C1,2,0.18,0.32,0.34,0.02
c1cc(*)cs1,FC1(F)CC(*)C1,2,-0.69,0.31,-0.53,-0.84
c1cc(*)cs1,Br*,2,0.2,1.05,0.73,-0.32
c1cncc(*)c1,Fc1cccc(*)c1,2,-0.37,-0.06,-0.4,-0.34
c1cc(*)cs1,Cc1ccc(*)cc1,2,-0.45,-0.23,-0.56,-0.33
c1cc(*)cs1,COc1ccc(*)cc1,2,-0.63,-0.12,-0.69,-0.57
c1cc(*)cs1,CC*,2,0.97,1.02,1.48,0.46
c1cc(*)cs1,CCC*,2,0.32,0.75,0.7,-0.06
c1cc(*)cs1,CC(C)C*,2,-0.46,0.02,-0.45,-0.48
c1cc(*)cs1,CC(C)(C)*,2,-0.76,0.27,-0.62,-0.9
c1cc(*)cs1,C=C*,2,1.01,0.45,1.24,0.79
c1cncc(*)c1,c1ccc(C*)cc1,2,-1.3,-0.3,-1.45,-1.15
c1cncc(*)c1,c1ccc(*)cc1,2,-0.16,-0.36,-0.34,0.02
COc1ccc(*)cc1,C1CCC(*)C1,2,0.92,0.15,1.0,0.85
COc1ccc(*)cc1,C1CC(*)C1,2,0.81,0.43,1.03,0.59
COc1ccc(*)cc1,c1cc(*)cs1,2,0.63,0.12,0.69,0.57
CC(C)(C)*,Br*,2,0.97,0.78,1.36,0.58
CC(C)C*,c1cc(*)cs1,2,0.46,-0.02,0.45,0.48
CC(C)C*,c1ccc(*)cc1,2,0.3,-0.1,0.25,0.35
CC(C)C*,CC*,2,1.43,1.0,1.93,0.93
CC(C)C*,CCC*,2,0.78,0.73,1.15,0.42
CC(C)C*,CC(C)(C)*,2,-0.3,0.25,-0.17,-0.42
CC(C)C*,C=C*,2,1.48,0.43,1.69,1.27
CC(C)(C)*,Cl*,2,0.75,0.17,0.83,0.66
CC(C)(C)*,C1CC1*,2,1.2,0.98,1.69,0.71
CC(C)(C)*,FC1(F)CC(*)C1,2,0.07,0.04,0.09,0.05
CC(C)(C)*,c1cc(*)cs1,2,0.76,-0.27,0.62,0.9
COc1ccc(*)cc1,Fc1ccccc1*,2,0.55,-0.07,0.52,0.58
CC(C)(C)*,CC(C)C*,2,0.3,-0.25,0.17,0.42
CC(C)(C)*,C=C*,2,1.78,0.17,1.86,1.69
C=C*,C1CCC(*)C1,2,-1.06,-0.66,-1.39,-0.73
C=C*,FC1(F)CC(*)C1,2,-1.7,-0.13,-1.77,-1.63
C=C*,Br*,2,-0.81,0.61,-0.51,-1.11
C=C*,c1cc(*)cs1,2,-1.01,-0.45,-1.24,-0.79
C=C*,CC*,2,-0.04,0.57,0.24,-0.33
C=C*,CCC*,2,-0.69,0.31,-0.54,-0.85
C=C*,CC(C)C*,2,-1.48,-0.43,-1.69,-1.27
CC(C)C*,Br*,2,0.67,1.03,1.18,0.15
CC(C)C*,FC(F)(F)*,2,0.46,1.37,1.15,-0.23
CC(C)C*,FC1(F)CC(*)C1,2,-0.22,0.29,-0.08,-0.37
CC(C)C*,C1CC1*,2,0.9,1.23,1.52,0.28
COc1ccc(*)cc1,Fc1cccc(*)c1,2,0.5,-0.07,0.46,0.53
COc1ccc(*)cc1,Cc1ccc(*)cc1,2,0.18,-0.12,0.13,0.24
CC*,FC1(F)CC(*)C1,2,-1.66,-0.71,-2.01,-1.3
CC*,Br*,2,-0.76,0.03,-0.75,-0.78
CC*,c1cc(*)cs1,2,-0.97,-1.02,-1.48,-0.46
CC*,CC(C)C*,2,-1.43,-1.0,-1.93,-0.93
CC*,C=C*,2,0.04,-0.57,-0.24,0.33
CCC*,Cl*,2,-0.34,-0.31,-0.49,-0.18
CCC*,c1ccc(C*)cc1,2,-1.13,-0.74,-1.49,-0.76
CCC*,C1CC(*)C1,2,-0.17,-0.02,-0.18,-0.15
CCC*,C1CC1*,2,0.12,0.5,0.37,-0.13
CCC*,FC1(F)CC(*)C1,2,-1.01,-0.44,-1.23,-0.79
CCC*,Br*,2,-0.12,0.3,0.03,-0.26
CCC*,c1cc(*)cs1,2,-0.32,-0.75,-0.7,0.06
CCC*,CC(C)C*,2,-0.78,-0.73,-1.15,-0.42
CCC*,C=C*,2,0.69,-0.31,0.54,0.85
CC(C)C*,Cl*,2,0.45,0.42,0.66,0.24
CC(C)C*,c1ccc(C*)cc1,2,-0.62,-0.08,-0.66,-0.58
CC(C)C*,C1CCC(*)C1,2,0.42,-0.23,0.3,0.53
CC(C)(C)*,CC(C)*,2,0.36,0.25,0.48,0.23
CC(C)(C)*,O*,2,0.75,0.9,1.21,0.3
CC(C)*,CC(C)(C)*,2,-0.36,-0.25,-0.48,-0.23
CC1CCC(*)CC1,OC1CCC(*)CC1,2,-0.36,0.36,-0.19,-0.54
CC1CCCC(*)C1,Cc1ccccc1*,2,-1.0,-1.13,-1.57,-0.44
CC1CCCC(*)C1,COC1CCCC(*)C1,2,-0.58,0.08,-0.54,-0.62
CC1CCCC(*)C1,CCC1CCC(*)CC1,2,-0.42,-0.07,-0.46,-0.39
CC1CCCC(*)C1,CC1CCC(*)CC1,2,-0.11,-0.12,-0.17,-0.05
CC1CCCC(*)C1,CC1(C)CCCC(*)C1,2,-0.2,-0.56,-0.48,0.07
C1CC[C@@H](CN*)NC1,C1CN[C@@H](CN*)C1,2,-0.07,-0.18,-0.16,0.02
CC1CCCC(*)C1,CC(C1CCCCC1)*,2,-0.52,-0.44,-0.73,-0.3
CC1CCCC(*)C1,CC(C)C1CCC(*)CC1,2,-0.87,-0.41,-1.08,-0.66
CC1CCCC(*)C1,CC(C)(C)C1CCC(*)CC1,2,-1.23,-0.67,-1.56,-0.89
CC1CCC(*)CC1,c1ccc(*)cc1,2,-0.44,-0.32,-0.6,-0.28
CC1CCCC(*)C1,C1CC(C2CCC(*)CC2)C1,2,-0.91,-0.37,-1.1,-0.73
CC1CCC(*)CC1,C1CCCC(*)CC1,2,0.12,0.11,0.18,0.07
CC1CCC(*)CC1,c1ccc(C2CCCC2*)cc1,2,-0.9,0.1,-0.86,-0.95
CC1CCC(*)CC1,FC(F)(F)C1CCCC(*)C1,2,-0.37,-0.18,-0.46,-0.28
CC1CCC(*)CC1,C1CCC2CC(*)CCC2C1,2,-0.7,-0.51,-0.95,-0.45
CC1CCC(*)CC1,C1CC(*)C1,2,-0.14,0.13,-0.08,-0.21
CC1CCC(*)CC1,c1ccc(C2CCC(*)CC2)cc1,2,-0.7,0.1,-0.64,-0.75
CC1CCC(*)CC1,C1CC(C2CCC(*)CC2)C1,2,-0.8,-0.25,-0.93,-0.68
CC1CCC(*)CC1,FC(F)(F)C1CCC(*)CC1,2,-0.23,-0.24,-0.35,-0.11
CC1CCC(*)CC1,C1CCC(C*)CC1,2,-0.11,0.16,-0.03,-0.2
CC1CCCC(*)C1,FC(F)(F)C1CCC(*)CC1,2,-0.34,-0.36,-0.52,-0.16
CC1CCCC(*)C1,c1ccc(C2CCC(*)CC2)cc1,2,-0.8,-0.01,-0.81,-0.8
CC1CCCC1*,CC1(C)CCC(*)CC1,2,-0.47,0.97,0.02,-0.95
CC1CCCC(C*)C1,CC1(C)CCC(C*)CC1,2,-0.34,-0.21,-0.44,-0.23
CC1CCCC1*,CC1(C)CC(*)C1,2,0.05,1.38,0.74,-0.63
CC1CCCC(C*)C1,C1CCC(*)CC1,2,0.53,-0.02,0.52,0.54
CC1CCCC(C*)C1,C1CCC(*)C1,2,0.45,0.05,0.47,0.42
CC1CCCC(C*)C1,C1CCC(C*)CC1,2,0.12,0.22,0.23,0.01
CC1CCCC(C*)C1,C1CCC(C*)C1,2,0.13,-0.04,0.11,0.15
CC1CCCC(C*)C1,CC1CCCCC1C*,2,0.0,-0.24,-0.12,0.12
CC1CCCC(C*)C1,CC1CCCC1*,2,0.65,-0.87,0.22,1.08
CC1CCCC(C*)C1,CC1CCC(*)CC1,2,0.23,0.05,0.26,0.21
CC1CCCC(C*)C1,CC1CCC(*)C1,2,0.42,0.06,0.45,0.39
CC1CCCC(C*)C1,CC1(C)CCC(C*)C1,2,-0.15,-0.15,-0.22,-0.07
CC1CCCC(*)C1,C1CC(*)C1,2,-0.25,0.01,-0.24,-0.25
CC1CCCC(C*)C1,CC1(C)CCC(*)CC1,2,0.18,0.11,0.24,0.13
CC1CCCC(C*)C1,CC1(C)CCC(*)C1,2,0.37,-0.13,0.31,0.43
CC1CCCC(C*)C1,CC1(C)CC(*)C1,2,0.7,0.51,0.96,0.45
CC1CCCC(*)C1,OC1CCC(*)CC1,2,-0.47,0.24,-0.35,-0.59
CC1CCCC(*)C1,c1ccc(*)cc1,2,-0.55,-0.44,-0.77,-0.32
CC1CCCC(*)C1,C1CCCC(*)CC1,2,0.02,-0.0,0.01,0.02
CC1CCCC(*)C1,c1ccc(C2CCCC2*)cc1,2,-1.01,-0.02,-1.02,-1.0
CC1CCCC(*)C1,FC(F)(F)C1CCCC(*)C1,2,-0.48,-0.3,-0.63,-0.33
CC1CCCC(*)C1,C1CCC2CC(*)CCC2C1,2,-0.81,-0.62,-1.12,-0.5
CC1CCC(*)CC1,C1CCC(C*)C1,2,-0.1,-0.09,-0.14,-0.05
CC1CCC(*)CC1,Cc1ccccc1*,2,-0.89,-1.01,-1.4,-0.39
CC1CCC(*)CC1,COC1CCCC(*)C1,2,-0.47,0.2,-0.37,-0.57
CC1(C)CCCC(*)C1,FC(F)(F)C1CCCC(*)C1,2,-0.27,0.26,-0.14,-0.4
CC1CCC(*)C1,CC1(C)CCC(*)CC1,2,-0.24,0.05,-0.21,-0.26
CC1CCC(*)C1,CC1(C)CCC(*)C1,2,-0.05,-0.18,-0.14,0.04
CC1CCC(*)C1,CC1(C)CC(*)C1,2,0.28,0.45,0.51,0.06
CC1(C)CCCC(*)C1,OC1CCC(*)CC1,2,-0.27,0.79,0.13,-0.67
CC1(C)CCCC(*)C1,c1ccc(*)cc1,2,-0.34,0.11,-0.28,-0.4
CC1(C)CCCC(*)C1,C1CCCC(*)CC1,2,0.22,0.55,0.5,-0.06
CC1(C)CCCC(*)C1,C1CCC(*)CC1,2,0.23,0.54,0.5,-0.04
CC1(C)CCCC(*)C1,c1ccc(C2CCCC2*)cc1,2,-0.81,0.53,-0.54,-1.07
CC1(C)CCCC(*)C1,C1CCC(*)C1,2,0.24,0.6,0.53,-0.06
CC1(C)CCCC(*)C1,C1CCC2CC(*)CCC2C1,2,-0.61,-0.07,-0.64,-0.57
CC1CCC(*)CC1,CCC1CCC(*)CC1,2,-0.32,0.05,-0.29,-0.34
CC1(C)CCCC(*)C1,C1CC(*)C1,2,-0.04,0.57,0.24,-0.33
CC1(C)CCCC(*)C1,c1ccc(C2CCC(*)CC2)cc1,2,-0.6,0.54,-0.33,-0.87
CC1(C)CCCC(*)C1,C1CC(C2CCC(*)CC2)C1,2,-0.71,0.19,-0.61,-0.8
CC1(C)CCCC(*)C1,FC(F)(F)C1CCC(*)CC1,2,-0.13,0.2,-0.03,-0.23
CC1(C)CCCC(*)C1,Cc1ccccc1*,2,-0.8,-0.57,-1.08,-0.51
CC1(C)CCCC(*)C1,COC1CCCC(*)C1,2,-0.37,0.64,-0.06,-0.69
CC1(C)CCCC(*)C1,CCC1CCC(*)CC1,2,-0.22,0.48,0.02,-0.46
CC1(C)CCCC(*)C1,CC1CCCC(*)C1,2,0.2,0.56,0.48,-0.07
CC1(C)CCCC(*)C1,CC1CCC(*)CC1,2,0.1,0.44,0.32,-0.12
CC1CCC(*)C1,CC1(C)CCC(C*)C1,2,-0.57,-0.21,-0.68,-0.47
CC1CCC(*)C1,CC1(C)CCC(C*)CC1,2,-0.76,-0.27,-0.89,-0.62
CC1CCC(*)C1,CC1CCC(*)CC1,2,-0.19,-0.0,-0.19,-0.19
CC1CCC(*)C1,CC1CCCC(C*)C1,2,-0.42,-0.06,-0.45,-0.39
CC1CCC(*)CC1,CC1CCCCC1C*,2,-0.23,-0.29,-0.37,-0.08
CC1CCC(*)CC1,CC1CCCC1*,2,0.42,-0.92,-0.04,0.88
CC1CCC(*)CC1,CC1CCCC(C*)C1,2,-0.23,-0.05,-0.26,-0.21
CC1CCC(*)CC1,CC1CCCC(*)C1,2,0.11,0.12,0.17,0.05
CC1CCC(*)CC1,CC1CCC(*)C1,2,0.19,0.0,0.19,0.19
CC1CCC(*)CC1,CC1(C)CCCC(*)C1,2,-0.1,-0.44,-0.32,0.12
CC1CCC(*)CC1,CC1(C)CCC(C*)CC1,2,-0.57,-0.26,-0.7,-0.44
CC1CCC(*)CC1,CC1(C)CCC(C*)C1,2,-0.38,-0.2,-0.48,-0.28
CC1CCC(*)CC1,CC1(C)CC(*)C1,2,0.47,0.46,0.7,0.24
CC1CCC(*)CC1,CC1(*)CCCCC1,2,0.33,-0.4,0.13,0.53
CC1CCC(*)CC1,CC(C1CCCCC1)*,2,-0.41,-0.32,-0.57,-0.25
CC1CCC(*)CC1,CC(C)C1CCC(*)CC1,2,-0.76,-0.29,-0.91,-0.62
CC1CCC(*)CC1,CC(C)(C)C1CCC(*)CC1,2,-1.12,-0.55,-1.39,-0.85
CC1CCC(*)C1,C1CCC(*)CC1,2,0.11,-0.08,0.07,0.15
CC1CCC(*)C1,C1CCC(*)C1,2,0.02,-0.01,0.02,0.03
CC1CCC(*)C1,C1CCC(C*)CC1,2,-0.3,0.16,-0.22,-0.38
CC1CCC(*)C1,C1CCC(C*)C1,2,-0.29,-0.1,-0.34,-0.24
CC1CCC(*)C1,CC1CCCCC1C*,2,-0.42,-0.3,-0.57,-0.27
CC1CCC(*)C1,CC1CCCC1*,2,0.23,-0.92,-0.23,0.69
CC1CCCC1*,CC1(C)CCC(*)C1,2,-0.28,0.74,0.09,-0.65
CC1CCCC1*,CC1(C)CCC(C*)C1,2,-0.8,0.71,-0.44,-1.16
CC(C)*,O*,2,0.4,0.65,0.72,0.07
COC1CCCC(*)C1,c1ccc(C2CCC(*)CC2)cc1,2,-0.22,-0.09,-0.27,-0.18
COC1CCCC(*)C1,OC1CCC(*)CC1,2,0.11,0.16,0.19,0.03
COC1CCCC(*)C1,c1ccc(*)cc1,2,0.03,-0.52,-0.23,0.29
COC1CCCC(*)C1,C1CCCC(*)CC1,2,0.6,-0.08,0.55,0.64
COC1CCCC(*)C1,C1CCC(*)CC1,2,0.6,-0.09,0.56,0.65
COC1CCCC(*)C1,c1ccc(C2CCCC2*)cc1,2,-0.43,-0.1,-0.48,-0.38
COC1CCCC(*)C1,C1CCC(*)C1,2,0.61,-0.04,0.59,0.63
COC1CCCC(*)C1,FC(F)(F)C1CCCC(*)C1,2,0.1,-0.38,-0.09,0.29
COC1CCCC(*)C1,C1CCC2CC(*)CCC2C1,2,-0.23,-0.7,-0.58,0.12
COC1CCCC(*)C1,C1CC(*)C1,2,0.33,-0.07,0.3,0.36
COC1CCCC(*)C1,C1CC(C2CCC(*)CC2)C1,2,-0.33,-0.45,-0.56,-0.11
COc1cccc(*)c1,C1CCC(*)C1,2,1.13,0.31,1.28,0.97
COC1CCCC(*)C1,FC(F)(F)C1CCC(*)CC1,2,0.24,-0.44,0.02,0.46
COC1CCCC(*)C1,Cc1ccccc1*,2,-0.42,-1.21,-1.03,0.18
COC1CCCC(*)C1,CCC1CCC(*)CC1,2,0.16,-0.15,0.08,0.23
COC1CCCC(*)C1,CC1CCCC(*)C1,2,0.58,-0.08,0.54,0.62
COC1CCCC(*)C1,CC1CCC(*)CC1,2,0.47,-0.2,0.37,0.57
COC1CCCC(*)C1,CC1(C)CCCC(*)C1,2,0.37,-0.64,0.06,0.69
COC1CCCC(*)C1,CC1(C)CCC(*)CC1,2,0.35,-0.34,0.18,0.53
COC1CCCC(*)C1,CC1(C)CCC(*)C1,2,0.59,-0.4,0.39,0.78
COC1CCCC(*)C1,CC1(*)CCCCC1,2,0.8,-0.6,0.51,1.1
COc1cccc(*)c1,CC1(C)CCC(*)CC1,2,0.92,0.35,1.1,0.75
COc1cccc(*)c1,c1ccc(*)cc1,2,0.53,0.14,0.6,0.46
CC1CCCC1*,CC1(C)CCC(C*)CC1,2,-0.99,0.65,-0.66,-1.32
Cc1ccccc1*,CC(C)(C)C1CCC(*)CC1,2,-0.23,0.46,0.01,-0.46
Cc1ccccc1*,CCC1CCC(*)CC1,2,0.58,1.06,1.11,0.05
Cc1ccccc1*,CC1CCCC(*)C1,2,1.0,1.13,1.57,0.44
Cc1ccccc1*,CC1CCC(*)CC1,2,0.89,1.01,1.4,0.39
Cc1ccccc1*,CC1(C)CCCC(*)C1,2,0.8,0.57,1.08,0.51
Cc1ccccc1*,CC1(C)CCC(*)CC1,2,0.78,0.87,1.21,0.34
Cc1ccccc1*,CC1(C)CCC(*)C1,2,1.01,0.81,1.41,0.6
Cc1ccccc1*,CC1(*)CCCCC1,2,1.23,0.61,1.53,0.92
Cc1ccccc1*,CC(C1CCCCC1)*,2,0.49,0.69,0.83,0.14
Cc1ccccc1*,CC(C)C1CCC(*)CC1,2,0.13,0.72,0.49,-0.23
