method,feature_set,tau_label,tau,coverage_IDO1_mean,coverage_IDO1_std,coverage_IDO1_min,coverage_IDO1_max,width_IDO1_mean,width_IDO1_std,width_IDO1_min,width_IDO1_max,coverage_TDO2_mean,coverage_TDO2_std,coverage_TDO2_min,coverage_TDO2_max,width_TDO2_mean,width_TDO2_std,width_TDO2_min,width_TDO2_max,coverage_M_mean,coverage_M_std,coverage_M_min,coverage_M_max,width_M_mean,width_M_std,width_M_min,width_M_max,coverage_D_mean,coverage_D_std,coverage_D_min,coverage_D_max,width_D_mean,width_D_std,width_D_min,width_D_max,ad_q1_coverage_IDO1_mean,ad_q1_coverage_IDO1_std,ad_q1_coverage_IDO1_min,ad_q1_coverage_IDO1_max,ad_q4_coverage_IDO1_mean,ad_q4_coverage_IDO1_std,ad_q4_coverage_IDO1_min,ad_q4_coverage_IDO1_max,ad_coverage_mad_IDO1_mean,ad_coverage_mad_IDO1_std,ad_coverage_mad_IDO1_min,ad_coverage_mad_IDO1_max,ad_q1_width_IDO1_mean,ad_q1_width_IDO1_std,ad_q1_width_IDO1_min,ad_q1_width_IDO1_max,ad_q4_width_IDO1_mean,ad_q4_width_IDO1_std,ad_q4_width_IDO1_min,ad_q4_width_IDO1_max,doc_q1_coverage_IDO1_mean,doc_q1_coverage_IDO1_std,doc_q1_coverage_IDO1_min,doc_q1_coverage_IDO1_max,doc_q4_coverage_IDO1_mean,doc_q4_coverage_IDO1_std,doc_q4_coverage_IDO1_min,doc_q4_coverage_IDO1_max,doc_coverage_mad_IDO1_mean,doc_coverage_mad_IDO1_std,doc_coverage_mad_IDO1_min,doc_coverage_mad_IDO1_max,doc_q1_width_IDO1_mean,doc_q1_width_IDO1_std,doc_q1_width_IDO1_min,doc_q1_width_IDO1_max,doc_q4_width_IDO1_mean,doc_q4_width_IDO1_std,doc_q4_width_IDO1_min,doc_q4_width_IDO1_max,width_error_corr_IDO1_mean,width_error_corr_IDO1_std,width_error_corr_IDO1_min,width_error_corr_IDO1_max,deck_max_LCB_dual_mean,deck_max_LCB_dual_std,deck_max_LCB_dual_min,deck_max_LCB_dual_max,deck_n_clear_dual_mean,deck_n_clear_dual_std,deck_n_clear_dual_min,deck_n_clear_dual_max
normalized,model_unc,baseline,,0.8833633154586357,0.03844904068485075,0.8237704918032787,0.9198473282442748,2.45456179434255,0.259734027553747,2.1857117023069743,2.8040509579835344,0.874607096759822,0.04870789586890286,0.8391167192429022,0.9541984732824428,2.0954753147583975,0.2521541438965739,1.7718798450690185,2.3940367024666727,0.8792800890514798,0.031586205962835255,0.8401639344262295,0.9236641221374046,1.9654274980511837,0.22828104135684865,1.6572401212150856,2.199157766068196,0.9066230219748043,0.035644825869631025,0.8703703703703703,0.95578231292517,2.4487847561426004,0.36034447262751207,2.0496738531671252,2.8725792611219685,0.9098931159177062,0.026617539121747115,0.8888888888888888,0.9545454545454546,0.8458768439123976,0.10598278491334494,0.6721311475409836,0.9324324324324325,0.044055654407817675,0.03299107374945276,0.02496044303797465,0.10245901639344263,2.0782865897561154,0.18648553857146064,1.875694609661899,2.290270799091402,2.8320196072669837,0.3017730171682691,2.544321789758884,3.2203932837357714,0.9143319486898722,0.022366614179025687,0.8918918918918919,0.9393939393939394,0.8427231749221097,0.11663439129258525,0.6557377049180327,0.9324324324324325,0.04731375801725485,0.03616930356163196,0.023601398601398593,0.11065573770491804,2.0797546309545583,0.1913006696569173,1.8856679240827745,2.3108520292459667,2.8243164808732475,0.3050901861672043,2.5230466576745956,3.1992588541911644,0.2273871364199791,0.043686558075501765,0.1896165026066791,0.293025262431419,5.392994208413622,0.21343882717495002,5.052123779876251,5.642702379163728,0.0,0.0,0,0
pacr_chem,chem,0.65,0.65,0.8899206925078161,0.026765521909299077,0.8565573770491803,0.9198473282442748,2.481075427682011,0.26143551958809036,2.1857136234791135,2.8040533721773797,0.8787054574155597,0.0472177389056715,0.8391167192429022,0.9541984732824428,2.1226677676305763,0.23972588478686127,1.7718814556213582,2.3940387032128423,0.884198121838365,0.025252471408387083,0.8641975308641975,0.9236641221374046,1.9970855651438755,0.24575057206426748,1.6572416998866457,2.1991596926667216,0.9066230219748043,0.035644825869631025,0.8703703703703703,0.95578231292517,2.448786776179125,0.3603447493824458,2.0496754939984427,2.872581637700886,0.9098931159177062,0.026617539121747115,0.8888888888888888,0.9545454545454546,0.8688276635845288,0.06242624408475022,0.7868852459016393,0.9324324324324325,0.037498277358637346,0.01860039656213398,0.02496044303797465,0.06967213114754098,2.0783098681295,0.186487675067316,1.8756965098290226,2.290273209464752,2.904555850773746,0.3319925649695509,2.5443236736821966,3.220395693391595,0.9143319486898722,0.022366614179025687,0.8918918918918919,0.9393939393939394,0.8656739945942409,0.07421999287169632,0.7704918032786885,0.9324324324324325,0.04075638096807452,0.022018659798571844,0.023601398601398593,0.0778688524590164,2.0800679114883787,0.19128501730824957,1.8856698759732469,2.3108544448574366,2.8967583811276834,0.33892307340156724,2.523048547652636,3.1992612687176076,0.23511972719240637,0.03919137456458484,0.1896165199587147,0.2930252673341973,5.364659827308691,0.21715363090589898,5.052122454816079,5.642701591301038,0.0,0.0,0,0
pacr_chem,chem,0.70,0.7,0.8976498564700343,0.020529788860099544,0.8703703703703703,0.9198473282442748,2.513435053851839,0.2755622311462625,2.1857136234791135,2.8040533721773797,0.881705345895542,0.047474498845347046,0.8391167192429022,0.9541984732824428,2.147327426458672,0.2442198844765313,1.7718814556213582,2.3940387032128423,0.8882964824941026,0.022857133690123786,0.8641975308641975,0.9236641221374046,2.0164607616112824,0.26534027674025945,1.6572416998866457,2.261910865850191,0.909975025236677,0.04071370044784704,0.8703703703703703,0.9693877551020408,2.494338981866153,0.4224148855811635,2.0496754939984427,3.0543073116524093,0.9098931159177062,0.026617539121747115,0.8888888888888888,0.9545454545454546,0.8964368457070954,0.04943884700757203,0.8271604938271605,0.9594594594594594,0.03411835666184593,0.009962062838687837,0.021795886075949344,0.04918032786885246,2.079381979380572,0.18660032552058403,1.8756965098290226,2.290273209464752,2.99569039248419,0.3983186740727999,2.5443236736821966,3.376549499015061,0.9143319486898722,0.022366614179025687,0.8918918918918919,0.9393939393939394,0.8965618652413976,0.058999488095127645,0.8024691358024691,0.9594594594594594,0.03687635651531713,0.009774569205304158,0.023601398601398593,0.04918032786885246,2.081347538968916,0.19122062174591678,1.8856698759732469,2.3108544448574366,2.987064182428326,0.4076168941341954,2.523048547652636,3.380863693835401,0.2428539688591897,0.033881383626404984,0.21071571758594798,0.2930252673341973,5.340021131736707,0.22852247273328805,5.0418098088249605,5.642701591301038,0.0,0.0,0,0
pacr_chem,chem,0.75,0.75,0.9102173370582352,0.020608648334756542,0.8734567901234568,0.9217687074829932,2.6080040820596353,0.34189145895091655,2.1996289693853948,2.945069014770201,0.8924174631650363,0.048274739483588146,0.8391167192429022,0.9541984732824428,2.2347134388555525,0.29752036810417337,1.7881536745299493,2.54110905508643,0.8962110994641451,0.023388578861931634,0.8703703703703703,0.9236641221374046,2.1031577069427794,0.3447680158306136,1.6755742351853073,2.4723622661477997,0.9132283139338593,0.043968510728873776,0.8703703703703703,0.9761904761904762,2.5675758541547227,0.529341919932329,2.0496754939984427,3.3388014108886184,0.9218558983722918,0.02454385210498564,0.8888888888888888,0.9545454545454546,0.9205337724048384,0.054734082386090274,0.8395061728395061,0.972972972972973,0.03793795938996905,0.017700601880488873,0.01863132911392401,0.0663934426229508,2.151213299232195,0.25207128521443367,1.8756965098290226,2.453876631490457,3.122549654819605,0.4835264432901881,2.5852178571693263,3.6225303022701367,0.9262947311444579,0.016168510756182603,0.9012345679012346,0.9393939393939394,0.9181271463695204,0.06358790805503403,0.8148148148148148,0.972972972972973,0.040285000339330676,0.016143130385968003,0.023601398601398593,0.0663934426229508,2.1529150139010125,0.25248459340078977,1.8858122145961032,2.455402463989274,3.112966121819559,0.49541814110971244,2.561354183284213,3.6246173950602727,0.24610564833490836,0.03419674615177766,0.20769784600110247,0.2930252673341973,5.279302161610813,0.22821511706661407,5.0160712080241545,5.577202804824463,0.0,0.0,0,0
pacr_chem,chem,0.80,0.8,0.9270560926594978,0.029967907976798693,0.8827160493827161,0.9659863945578231,2.805845285232831,0.5176523592322543,2.244599749263794,3.5079661785010714,0.9101963587280176,0.055479509730510725,0.8485804416403786,0.9732824427480916,2.443336497187782,0.4882103330700477,1.83716114385834,3.1376949439456574,0.9152264196408909,0.03901831552985324,0.8734567901234568,0.95578231292517,2.323164417014258,0.5244692050627996,1.7298750667750533,2.963661657008427,0.9144901435868562,0.044676495915810445,0.8703703703703703,0.9761904761904762,2.6459727796101995,0.6564007990168468,2.0496754939984427,3.6627075306235333,0.9416784034406985,0.04035616194749621,0.8888888888888888,0.9864864864864865,0.9306438825149485,0.04593962316220911,0.8765432098765432,0.9864864864864865,0.041806867021963415,0.020967558256025316,0.021795886075949344,0.0658459829692706,2.286827908375904,0.42248679279417173,1.8756965098290226,2.905410957915269,3.40197922054186,0.6420591304111436,2.721917625659934,4.180104516585507,0.9380091281047566,0.02152429265643336,0.9012345679012346,0.9545454545454546,0.9257681206771613,0.05712818935158144,0.8395061728395061,0.9864864864864865,0.04568888211973195,0.01722161047012681,0.02804588607594935,0.0659848204368752,2.290541693478238,0.4255815791097683,1.8862296597764425,2.916472748066275,3.390274649333685,0.6592425508330645,2.6895107935577185,4.194325943467555,0.251668840295664,0.03983501295432643,0.19278273047066294,0.29347988208407216,5.127447922710818,0.22618624602593537,4.91107747494872,5.43619349479377,0.0,0.0,0,0
pacr_chem_doc,chem_doc,0.65,0.65,0.8899206925078161,0.026765521909299077,0.8565573770491803,0.9198473282442748,2.482698667817977,0.26257627536177114,2.1857136234791135,2.8040533721773797,0.8787054574155597,0.0472177389056715,0.8391167192429022,0.9541984732824428,2.1233307245875497,0.24031729133092444,1.7718814556213582,2.3940387032128423,0.884198121838365,0.025252471408387083,0.8641975308641975,0.9236641221374046,1.9970855875374638,0.2457505911943792,1.6572416998866457,2.1991596926667216,0.9073032940836478,0.03683030950585146,0.8703703703703703,0.9591836734693877,2.4536138184626566,0.3675309910521899,2.0496754939984427,2.896716849118543,0.9098931159177062,0.026617539121747115,0.8888888888888888,0.9545454545454546,0.8688276635845288,0.06242624408475022,0.7868852459016393,0.9324324324324325,0.037498277358637346,0.01860039656213398,0.02496044303797465,0.06967213114754098,2.0784313763766664,0.18661070090188983,1.8756965098290226,2.290273209464752,2.9097145104132656,0.3350742134746319,2.5443236736821966,3.220395693391595,0.9143319486898722,0.022366614179025687,0.8918918918918919,0.9393939393939394,0.8656739945942409,0.07421999287169632,0.7704918032786885,0.9324324324324325,0.04075638096807452,0.022018659798571844,0.023601398601398593,0.0778688524590164,2.0800679117040906,0.19128501729811795,1.8856698759732469,2.3108544448574366,2.9018979381479144,0.34226310913733177,2.523048547652636,3.1992612687176076,0.23610723898197233,0.037795538212647486,0.19455405959892297,0.2930252673341973,5.363709338598136,0.21673726566108611,5.052122454816079,5.642701591301038,0.0,0.0,0,0
pacr_chem_doc,chem_doc,0.70,0.7,0.8990104006877214,0.02077931102868169,0.8703703703703703,0.9198473282442748,2.516823216844768,0.2779393950344281,2.1857136234791135,2.8040533721773797,0.8840249622666805,0.047815928389054345,0.8391167192429022,0.9541984732824428,2.1499446926814283,0.24550851878684937,1.7718814556213582,2.3940387032128423,0.8882964824941026,0.022857133690123786,0.8641975308641975,0.9236641221374046,2.0180372259211024,0.26718017700071556,1.6572416998866457,2.2697931873992907,0.909975025236677,0.04071370044784704,0.8703703703703703,0.9693877551020408,2.499116981747253,0.43039229608937785,2.0496754939984427,3.0781983967733564,0.9098931159177062,0.026617539121747115,0.8888888888888888,0.9545454545454546,0.8991395484097982,0.053912438956458426,0.8271604938271605,0.972972972972973,0.03452005973478188,0.009893551597837537,0.021795886075949344,0.04918032786885246,2.079893089422259,0.18763004089704993,1.8756965098290226,2.290273209464752,3.0109027944953093,0.4132056575518009,2.5443236736821966,3.4061584195472516,0.9143319486898722,0.022366614179025687,0.8918918918918919,0.9393939393939394,0.8992645679441005,0.06278890307769144,0.8024691358024691,0.972972972972973,0.03686710068414349,0.00977797719001238,0.023601398601398593,0.04918032786885246,2.0806835133891304,0.19121169247396316,1.8856698759732469,2.3108544448574366,3.0027287350268232,0.42334956520123496,2.523048547652636,3.4113571585031393,0.24492124533743284,0.03232924326221711,0.2125348552512158,0.2930252673341973,5.332526074861084,0.22950623537005407,5.041810052042357,5.642701591301038,0.0,0.0,0,0
pacr_chem_doc,chem_doc,0.75,0.75,0.9088567928405482,0.019866590382666496,0.8734567901234568,0.9198473282442748,2.5983696511600183,0.3300877067557907,2.1996289693746203,2.8965203692366885,0.8924174631650363,0.048274739483588146,0.8391167192429022,0.9541984732824428,2.233403897710557,0.29560657831486814,1.7881536745175166,2.534289488002232,0.8962110994641451,0.023388578861931634,0.8703703703703703,0.9236641221374046,2.1029997747488887,0.3445567247488677,1.6755742351716718,2.471572610791244,0.9118677697161722,0.04157316831897956,0.8703703703703703,0.9693877551020408,2.542236355107513,0.4834606044571753,2.0496754939984427,3.2085502768881358,0.9191531956695892,0.025666478944596685,0.8888888888888888,0.9545454545454546,0.9205337724048384,0.054734082386090274,0.8395061728395061,0.972972972972973,0.036577352207444055,0.017754606894714427,0.01863132911392401,0.0663934426229508,2.134291201424196,0.22784884814500606,1.876635355809715,2.368017474986691,3.132000414301037,0.49314673340656867,2.5852178571372018,3.6242300740369338,0.9235920284417553,0.018648869098694825,0.9012345679012346,0.9393939393939394,0.9181271463695204,0.06358790805503403,0.8148148148148148,0.972972972972973,0.03892439315680568,0.01644685135964001,0.023601398601398593,0.0663934426229508,2.135306932680914,0.22815681097018653,1.8858122145959975,2.367744866754342,3.123167704976656,0.5055271827218192,2.5613541832540645,3.6274033027519015,0.24837983445105624,0.03174599204518949,0.21728717347673426,0.2930252673341973,5.2745414237851875,0.22935609895103806,5.014131814044374,5.577202804873179,0.0,0.0,0,0
pacr_chem_doc,chem_doc,0.80,0.8,0.9250152763329673,0.02683796146546667,0.8827160493827161,0.95578231292517,2.7738727817371265,0.46654961630153247,2.244599748863775,3.3490356125077194,0.909516086619174,0.05474466267029101,0.8485804416403786,0.9732824427480916,2.4160953104270075,0.44169753450282445,1.8371611434400048,3.001924834134742,0.9138658754232039,0.03733281578418575,0.8734567901234568,0.9489795918367347,2.29773759964656,0.48736449853945496,1.7298750663023192,2.8356956460793215,0.9144901435868562,0.044676495915810445,0.8703703703703703,0.9761904761904762,2.609218711546263,0.588181396961042,2.0496754939984427,3.4841966349044027,0.9362729980352931,0.03419352583988057,0.8888888888888888,0.9696969696969697,0.9306438825149485,0.04593962316220911,0.8765432098765432,0.9864864864864865,0.040729488273351794,0.019511384943591684,0.021795886075949344,0.06229508196721306,2.241679725582995,0.3440920680160406,1.876507500211438,2.677984498046772,3.408909363109005,0.6554656551168435,2.721917624429597,4.218456637246073,0.9353064254020538,0.02112323451273905,0.9012345679012346,0.9545454545454546,0.9257681206771613,0.05712818935158144,0.8395061728395061,0.9864864864864865,0.04364334343035764,0.014618983965079097,0.02804588607594935,0.06229508196721306,2.2437755794409044,0.344758707387283,1.8862296597727573,2.6822155897856015,3.3975730392863652,0.6725989217118604,2.689510792404703,4.232876841193076,0.25574090395052684,0.03270468786551361,0.21293518184634014,0.2934798808544157,5.123283366044694,0.22852617630170322,4.913063781525179,5.436193495971513,0.0,0.0,0,0
pacr_doc,doc,0.65,0.65,0.8874616761143734,0.030850110539902834,0.8442622950819673,0.9198473282442748,2.4762311946264814,0.260975239790882,2.1857136234791135,2.8040533721773797,0.8778857852844121,0.04737791120168668,0.8391167192429022,0.9541984732824428,2.116611325079224,0.24204647553353806,1.7718814556213582,2.3940387032128423,0.8833784497072175,0.026093886921067348,0.860655737704918,0.9236641221374046,1.9892439259073158,0.23960030318804146,1.6572416998866457,2.1991596926667216,0.9073032940836478,0.03683030950585146,0.8703703703703703,0.9591836734693877,2.4536138180464775,0.36753099042499715,2.0496754939984427,2.8967168470376476,0.9098931159177062,0.026617539121747115,0.8888888888888888,0.9545454545454546,0.8622702865353485,0.07386034282363382,0.7540983606557377,0.9324324324324325,0.03995729375207997,0.02395826882628613,0.02496044303797465,0.0819672131147541,2.078729028771021,0.1866386324898327,1.8756965098290226,2.290273209464752,2.896076335042161,0.3237798718333665,2.5443236736821966,3.220395693391595,0.9143319486898722,0.022366614179025687,0.8918918918918919,0.9393939393939394,0.8591166175450604,0.08534616044532095,0.7377049180327869,0.9324324324324325,0.04321539736151714,0.027261797940246652,0.023601398601398593,0.0901639344262295,2.079756861337548,0.19130089068027167,1.8856698759732469,2.3108544448574366,2.889629885329985,0.33154288158780365,2.523048547652636,3.1992612687176076,0.2365365038438972,0.03773962429443559,0.19455405920060126,0.2930252673341973,5.363683032024694,0.21674915258973318,5.052122454816079,5.642701591301038,0.0,0.0,0,0
pacr_doc,doc,0.70,0.7,0.9014694170811641,0.019426676322111255,0.8703703703703703,0.9198473282442748,2.520511434370023,0.2807298126824986,2.1857136234791135,2.8040533721773797,0.884844634397828,0.047964805062632176,0.8391167192429022,0.9541984732824428,2.1538711712623413,0.24639377782584648,1.7718814556213582,2.3940387032128423,0.8874768103629552,0.023066405502748702,0.8641975308641975,0.9236641221374046,2.0228876471754496,0.2730488712300657,1.6572416998866457,2.2940452936710276,0.909975025236677,0.04071370044784704,0.8703703703703703,0.9693877551020408,2.4977994813050706,0.4297722514925461,2.0496754939984427,3.0781984034543948,0.9164504929668864,0.028074572582096516,0.8888888888888888,0.9545454545454546,0.9024182369343883,0.05335182954560005,0.8271604938271605,0.972972972972973,0.035503666292158925,0.011780051451143723,0.021795886075949344,0.0540983606557377,2.096913363676845,0.19281364281638583,1.8763146518096785,2.290273209464752,2.994924787458054,0.39805208626897726,2.5443236736821966,3.3322013431442947,0.9208893257390525,0.022520788535033136,0.8918918918918919,0.9393939393939394,0.9025432564686906,0.062299985883204415,0.8024691358024691,0.972972972972973,0.037850707241520544,0.011433489175678642,0.023601398601398593,0.0540983606557377,2.096568840380858,0.19404860433472634,1.8856698759732469,2.3108544448574366,2.9888346449925254,0.40988318706825777,2.523048547652636,3.347056805759595,0.2438273318783896,0.03227115980235863,0.2125348552512158,0.2930252673341973,5.329771097174982,0.23159287647980786,5.043237988990866,5.642701591301038,0.0,0.0,0,0
pacr_doc,doc,0.75,0.75,0.9090591810210784,0.021786320232201388,0.8703703703703703,0.9221311475409836,2.609017847378067,0.34981114177733275,2.1857136234791135,2.899296925592863,0.8905656113131843,0.050494454992922405,0.8391167192429022,0.9541984732824428,2.244492625002473,0.3125726072152333,1.7718814556213582,2.5351245367478787,0.8982552200875007,0.02725369623477853,0.8641975308641975,0.9236641221374046,2.116682489299328,0.37463927163498373,1.6572416998866457,2.5583187132292053,0.9112368548896738,0.041240435039592585,0.8703703703703703,0.9693877551020408,2.5383708543216565,0.4831951472726019,2.0496754939984427,3.215409053399189,0.9224318841941793,0.02894315006310855,0.8888888888888888,0.9545454545454546,0.9147859480777789,0.056368128532915285,0.8271604938271605,0.972972972972973,0.03637496402691379,0.01598908232532021,0.01863132911392401,0.06229508196721306,2.1593101152039114,0.247061133172189,1.8772760372620954,2.3727582665168527,3.12076130134784,0.5122009198112668,2.5443236736821966,3.628623264130379,0.9268707169663454,0.022143491992925615,0.9012345679012346,0.9508196721311475,0.912379322042461,0.06589993794813043,0.8024691358024691,0.972972972972973,0.03872200497627541,0.01491944121661442,0.023601398601398593,0.06229508196721306,2.158732237317138,0.24385164170850615,1.8856698759732469,2.3713987848964933,3.1148620499407023,0.5262593383188349,2.523048547652636,3.642489658627111,0.24559143559103064,0.03303250069909205,0.2125348552512158,0.2930252673341973,5.278380012180468,0.26066635640628527,5.025193363998573,5.642701591301038,0.0,0.0,0,0
pacr_doc,doc,0.80,0.8,0.9297038663575895,0.0315458758289065,0.8827160493827161,0.9659863945578231,2.818827418960205,0.5281843697267641,2.227703227481056,3.463329720927793,0.9130465206066397,0.057447005660177894,0.8454258675078864,0.9732824427480916,2.463254016626178,0.5060791353594798,1.8186879572803833,3.1296163633794944,0.9209641245589237,0.04363088795733895,0.8734567901234568,0.9590163934426229,2.3457153218375195,0.5698446857034775,1.7097972934208159,2.9634009753851873,0.9151210584133546,0.04509256885441361,0.8703703703703703,0.9761904761904762,2.6300716511950473,0.6137960929089955,2.0496754939984427,3.5421348562010118,0.9449570919652887,0.04192012918906457,0.8888888888888888,0.9864864864864865,0.9306438825149485,0.04593962316220911,0.8765432098765432,0.9864864864864865,0.041173955629558355,0.021755558551961585,0.01863132911392401,0.0658459829692706,2.321029776614756,0.4111459592959381,1.9008124671741697,2.830114202827841,3.383484912702824,0.6792591484395658,2.6818747338836784,4.20674594949991,0.9412878166293467,0.024940902666080483,0.9012345679012346,0.9672131147540983,0.9257681206771613,0.05712818935158144,0.8395061728395061,0.9864864864864865,0.04632179351213701,0.01645207033650457,0.031210443037974656,0.0659848204368752,2.3206730240427027,0.40924253422997314,1.8856698759732469,2.8349796975437855,3.378189252500616,0.6946306336425038,2.6615729071163154,4.221952531228484,0.24876739513944543,0.03636590245516394,0.20000616535718757,0.29347988117156854,5.122922750952212,0.24441652186426954,4.883853130375901,5.4620319307263525,0.0,0.0,0,0
standard,none,baseline,,0.8872451325733491,0.03318844310661756,0.8442622950819673,0.9337539432176656,2.48968682839485,0.06929971293056503,2.399620472758971,2.587972596700869,0.8596979895687703,0.06225767440765388,0.7704918032786885,0.9236641221374046,2.0858428307456864,0.2186403840454907,1.7807578269092308,2.361751734418442,0.8756289131998806,0.03889099894102773,0.8155737704918032,0.916030534351145,1.925453583047998,0.1172945970719119,1.7691206198959504,2.0546187334176516,0.8939129859078369,0.022256825488368718,0.8580246913580247,0.917981072555205,2.608992340592933,0.40220355853295464,2.093677230203145,3.080087558836532,0.9658769375436043,0.031801909565551026,0.918918918918919,1.0,0.7872788954133632,0.08710841745433144,0.639344262295082,0.8481012658227848,0.064252479836665,0.025185559320698315,0.0387634209552018,0.10655737704918031,2.4896868283948503,0.06929971293056443,2.3996204727589725,2.587972596700869,2.4896868283948503,0.06929971293056465,2.399620472758972,2.587972596700869,0.9593652432860083,0.03344451117702854,0.9054054054054054,0.9875,0.7783148923288647,0.10428835273728923,0.6065573770491803,0.8607594936708861,0.06598063393269074,0.02948288565726654,0.040864494631617926,0.11475409836065575,2.4896868283948503,0.06929971293056447,2.3996204727589725,2.587972596700869,2.4896868283948503,0.06929971293056465,2.399620472758972,2.587972596700869,-0.04398025353850628,0.07050605451065983,-0.15931862731446608,0.016123104381097045,5.4865984257990235,0.3313396659543351,4.9329475007134285,5.811242285934212,0.0,0.0,0,0
